last_reported,num_bikes_available,station_id
1523063192,15,3321
1523056367,25,3322
1523062579,36,3323
1523057322,22,3324
1523062311,2,3325
1523043679,21,3326
1523062615,6,3327
1523061577,27,3328
1523061475,16,3329
1523055273,17,3330
1523063272,8,3331
1523062394,13,3332
1523049080,21,3333
1523063100,27,3335
1523062460,2,3336
1523057917,23,3337
1523062344,7,3338
1523062364,23,3339
1523059308,21,3340
1523061782,23,3341
1523052848,22,3342
1523061233,10,3343
1523060648,18,3344
1523052519,0,3345
1523060364,28,3346
1523060651,20,3347
1523051538,19,3348
1523062709,9,3349
1523061481,19,3350
1523063257,17,3351
1523053997,21,3352
1523061423,26,3354
1523058607,0,3355
1523062034,17,3356
1523061482,18,3357
1523060303,11,3358
1523062706,2,3359
1523062616,22,3360
1523061467,22,3361
1523063067,4,3362
1523058155,1,3363
1523059332,26,3364
1523063265,12,3365
1523063396,23,3366
1523062355,2,3367
1523063406,28,3368
1523061416,22,3369
1523062888,23,3370
1523058770,27,3371
1523062159,5,3372
1523062306,19,3373
1523063289,22,3374
1523062653,7,3375
1523056913,0,3376
1523062205,19,3377
1523061536,1,3378
1523061678,7,3379
1523061694,5,3381
1523058609,16,3382
1523061686,3,3383
1523062753,11,3384
1523063396,11,3386
1523058024,2,3387
1523060576,24,3388
1523055650,28,3389
1523060867,21,3390
1523061947,24,3391
1523054133,19,3392
1523061393,19,3393
1523002909,21,3394
1523061440,12,3396
1523057347,24,3397
1523061663,23,3398
1523057965,19,3399
1523063047,21,3400
1523061542,16,3401
1523063373,4,3402
1523060116,23,3403
1523062698,25,3404
1523059791,11,3405
1523059621,20,3407
1523062167,21,3408
1523062919,32,3409
1523059836,19,3410
1523062809,6,3411
1523062225,1,3412
1523062942,17,3413
1523062026,10,3414
1523061520,22,3415
1523061277,26,3417
1523062979,4,3418
1523063404,26,3419
1523063287,16,3420
1523061083,19,3421
1523060818,21,3422
1523062588,26,3423
1523060731,20,3424
1523062684,11,3425
1523062966,1,3427
1523063156,16,3429
1523061226,13,3430
1523062497,1,3431
1523058168,22,3434
1523063031,7,3435
1523062511,6,3437
1523063297,12,3438
1523062380,1,3440
1523063306,0,3443
1523061438,2,3447
1523063303,14,3449
1523061681,2,3452
1523062902,8,3453
1523062797,13,3454
1523063007,24,3455
1523061825,4,3456
1523057954,0,3457
1523052051,0,3458
1523062784,2,3459
1523062907,5,3461
1523063378,1,3462
1523062973,5,3463
1523053338,0,3466
1521045156,0,3467
1523060098,13,3469
1523061765,4,3472
1523062729,2,3474
1515170606,0,3476
1523060150,5,3477
1523062342,17,3478
1523056866,9,3481
1523062009,5,3486
1523061164,2,3489
1523059269,7,3490
1523062937,22,3491
1523054651,3,3492
1523061012,9,3493
1523053224,17,3494
1523061072,24,3495
1523062974,25,3496
1523062512,21,3497
1523058569,6,3498
1523003827,1,3499
1523060392,11,3500
1523062653,1,3501
1523062807,21,3502
1523062659,4,3503
1523061534,16,3504
1523059424,5,3505
1523058669,8,3506
1523063423,7,3507
1523060049,6,3508
1523062977,26,3509
1523062222,17,3510
1523063078,11,3511
1523051328,11,3512
1523006360,0,3513
1523061903,5,3514
1523062027,7,3515
1523056573,0,3516
1523061847,1,3517
1523062265,29,3518
0,0,3519
1523062366,23,3520
1523061943,19,3521
1523059666,8,3522
1523050394,9,3523
1523058462,12,3524
1523063204,5,3525
1523063109,13,3526
1523058586,2,3527
1523053881,7,3528
1523059944,21,3529
1523062290,12,3530
1523053756,13,3531
1523059049,20,3532
1523062540,7,3533
1523063308,36,3534
1523057545,7,3535
1523063170,19,3536
1523063174,5,3537
1523061021,6,3538
1523062789,5,3539
1523060525,11,3540
1523062963,22,3541
1523063322,8,3542
1523054530,3,3543
1523061679,16,3544
1523063423,9,3545
1523060140,5,3546
1523058329,21,3547
0,0,3548
1523063044,7,3549
1523062372,4,3551
1523058379,5,3552
1523058818,29,3553
1523062109,8,3554
1523060654,2,3555
1523051810,0,3556
1523057927,3,3557
1523063007,8,3558
1523045948,5,3559
1523059493,7,3560
1523057525,6,3561
1523061862,15,3562
1523061686,2,3563
1523059575,0,3564
1523060790,9,3565
1523061930,2,3566
1523045950,6,3567
1523062221,4,3568
1523061776,14,3569
1523061622,3,3570
1523062797,8,3571
1523062186,9,3572
1523060924,3,3573
1523061605,7,3574
1523062121,8,3575
1523063284,7,3576
1523057538,14,3577
1523061689,8,3578
1523058851,9,3579
1523062023,14,3580
1523061881,2,3581
1523060872,7,3582
1523059202,11,3583
1523062627,8,3584
1523057513,3,3585
1523052186,2,3586
1523056055,11,3587
1523062934,9,3588
1523061712,0,3589
1523062470,10,3590
1523061125,13,3591
1523062629,1,3592
1523063337,2,3593
1523059434,5,3595
1523002723,19,3596
1523059022,4,3597
1523059444,6,3598
1523062110,25,3599
1523058777,17,3601
1523062181,8,3602
1523058859,2,3603
1523060255,17,3604
1523062010,9,3605
1523060988,11,3606
1523063411,9,3607
1523061970,9,3608
1523057464,14,3609
1523061407,16,3610
1523062198,6,3611
1523058717,14,3612
1523062800,22,3613
1523058478,3,3614
1523057026,17,3615
1523063249,14,3616
1523063186,2,3617
1523055007,3,3618
1523056816,10,3619
1523017261,0,3620
1523053384,9,3621
1523062878,2,3622
1523060552,15,3623
1523057527,5,3625
0,0,3628
1523059219,7,3629
0,0,3630
1523062869,26,3631
1523060394,32,3632
1523062968,8,3635
1523060830,8,3637
1523062374,1,3638
1523055577,1,3639
1523062626,0,3640
1523062063,0,3641
1523060185,0,3643
1523054986,24,3644
1523060489,2,3646
1523050825,3,3647
1523058708,5,3648
1523058778,3,3649
1523062025,3,3653
1523062887,2,3654
1523063207,28,3656
1523063174,2,3658
1523062799,4,3659
1523062704,3,3660
1523060786,19,3661
1523063034,1,3662
1523062445,6,3663
1523059939,1,3664
0,0,3666
1523062913,8,3668
1523056942,19,3669
1523060279,15,3671
1523062182,0,3674
